year,raw_var_name,position,label,value_labels,missing_values
2012,PAPEXAM,,C15.5. A Pap test is a test for cancer of the cervix.  Have you EVER had a Pap test?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,PAPLNG,,C15.6. How long has it been since you had your last Pap test?,1 - Within the past year (anytime less than 12 months ago); 2 - Within the past 2 years (1 year but less than 2 years ago); 3 - Within the past 3 years (2 years but less than 3 years ago); 4 - Within the past 5 years (3 years but less than 5 years ago); 5 - 5 or more years ago; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,HYSTER,,C15.7. Have you had a hysterectomy?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,rfmam2y,,Women 40+ having mammograms in last two years,1 - Not at Risk; 2 - At Risk; 9a - Don't know/Not Sure/Refused/Missing,
2012,rfmam2y50,,Women 50+ having mammograms in last two years,1 - Not at Risk; 2 - At Risk; 9a - Don't know/Not Sure/Refused/Missing,
2012,rfpap32,,Females 18+ with intact cervix who have not had pap smear in last three years,1 - Not at Risk; 2 - At Risk; 9a - Don't know/Not Sure/Refused/Missing,
2012,POSADV,,"C16.1. A Prostate-Specific Antigen test, also called a PSA test, is a blood test used to check men for prostate cancer.  Has a doctor, nurse, or other health professional EVER talked with you about the advanatages of the PSA test?",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,POSDISADV,,"C16.2. Has a doctor, nurse, or other health professional EVER talked with you about the disadvantages of the PSA test? (DO NOT READ)",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,POSREC,,"C16.3. Has a doctor, nurse, or other health professional EVER recommended that you have a PSA test? (DO NOT READ)",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,POSATX,,C16.4. Have you ever had a PSA test?   (DO NOT READ),1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,POSALNG,,C16.5. How long has it been since you had your last PSA test?  (READ IF NECESSARY:),1 - Within the past year (anytime less than 12 months ago); 2 - Within the past 2 years (1 year but less than 2 years ago); 3 - Within the past 3 years (2 years but less than 3 years ago); 4 - Within the past 5 years (3 years but less than 5 years ago); 5 - 5 or more years ago; 7a - DO NOT READ Don't know / Not sure; 9a - (DO NOT READ) Refused,
2012,POSREASON,,C16.6. What was the MAIN reason you had this PSA test - was it (READ LIST),1 - Part of a routine exam; 2 - Because of a prostate problem; 3 - Because of a family history of prostate cancer; 4 - Because you were told you had prostate cancer; 5 - Some other reason; 7a - (DO NOT READ) Don't know / Not sure; 9a - (DO NOT READ) Refused,
2012,rfpsa2y,,Men aged 40 and older who have not had a PSA test within two years,1 - Not at Risk; 2 - At Risk; 9a - Don't know/Not Sure/Refused/Missing,
2012,COSTOOLT,,C17.1. A blood stool test is a test that may use a special kit at home to determine whether the stool contains blood.  Have you ever had this test using a home kit?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,COSTOOLW,,C17.2. How long has it been since you had your last blood stool test using a home kit?,1 - Within the past year (anytime less than 12 months ago); 2 - Within the past 2 years (1 year but less than 2 years ago); 3 - Within the past 3 years (2 years but less than 3 years ago); 4 - Within the past 5 years (3 years but less than 5 years ago); 5 - 5 or more years ago; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,COSIG,,C17.3. Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to view the colon for signs of cancer or other health problems.  Have you ever had either of these exams?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,COTYPE,,C17.4. Was your MOST RECENT exam a sigmoidoscopy or a colonoscopy?,1 - Sigmoidoscopy; 2 - Colonoscopy; 7a - Don't know/Not sure; 9a - Refused,
2012,COSIGLST,,C17.5. How long has it been since you had your last sigmoidoscopy or colonoscopy?,1 - Within the past year (anytime less than 12 months ago); 2 - Within the past 2 years (1 year but less than 2 years ago); 3 - Within the past 3 years (2 years but less than 3 years ago); 4 - Within the past 5 years (3 years but less than 5 years ago); 5 - Within the past 10 years (5 years but less than 10 years ago; 6 - 10 or more years ago; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,rfbldst,,Respondents ages 50+ who have not had a blood stool test within two years,1 - Not at Risk; 2 - At Risk; 9a - Don't know/Not Sure/Refused/Missing,
2012,rfsigm2,,Respondents aged 50+ who have never had a Sigmoidoscopy or colonoscopy,1 - Not at Risk; 2 - At Risk; 9a - Don't know/Not Sure/Refused/Missing,
2012,CANCERTYPE,,"OR106.3. With your most recent diagnosis of cancer, what type of cancer was it?",1 - Breast cancer; 2 - Cervical cancer (cancer of the cervix); 3 - Endometrial cancer (cancer of the uterus); 4 - Ovarian cancer (cancer of the ovary); 5 - Head and neck cancer; 6 - Oral cancer; 7 - Pharyngeal (throat) cancer; 8 - Thyroid; 9 - Colon (intestine) cancer; 10 - Esophageal (esophagus); 11 - Liver cancer; 12 - Pancreatic (pancreas) cancer; 13 - Rectal (rectum) cancer; 14 - Stomach; 15 - Hodgkin's Lymphoma (Hodgkin's disease); 16 - Leukemia (blood) cancer; 17 - Non-Hodgkin's Lymphoma; 18 - Prostate cancer; 19 - Testicular cancer; 20 - Melanoma; 21 - Other skin cancer; 22 - Heart; 23 - Lung; 24 - Bladder cancer; 25 - Renal (kidney) cancer; 26 - Bone; 27 - Brain; 28 - Neuroblastoma; 29 - Other (Specify:); 77a - (DO NOT READ) Don't know; 99a - (DO NOT READ) Refused,
2012,CANCERTYPEO,,Enter Other QOR106.3. Here:,,
2012,COLOTALK,,"OR108.1 In the past six months, have you had a conversation with anyone other than a health professional about colorectal cancer screening?",1 - Yes; 2 - No; 7a - (DO NOT READ) Don't know / Not Sure; 9a - (DO NOT READ) Refused,
2012,COLOADV,,"OR108.2 In the past year, do you recall seeing or hearing an advertisement to promote colorectal cancer screening that featured people from Oregon?",1 - Yes; 2 - No; 7a - (DO NOT READ) Don't know / Not Sure; 9a - (DO NOT READ) Refused,
2012,CVATTACK,,"C5.1 Have you EVER been told by a doctor, nurse, or other health professional that you had a heart attack, also called myocardial infarction?",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,CVSTROKE,,"C5.3 Have you EVER been told by a doctor, nurse, or other health professional that you had a stroke?",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,CVANGINA,,"C5.2 Have you EVER been told by a doctor, nurse, or other health professional that you had angina or coronary disease?",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,DIABETES,,C5.13. (Ever told) you have diabetes?,"1 - Yes; 2 - Yes, but female told only during pregnancy; 3 - No; 4 - No, pre-diabetes or borderline diabetes; 7a - Don't know / Not sure; 9a - Refused",
2012,PREDIABTEST,,M1.1. Have you had a test for high blood sugar or diabetes within the past three years?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,PREDIABX,,M1.2. Have you ever been told by a doctor or other health professional that you have pre-diabetes or borderline diabetes?,"1 - Yes; 2 - Yes, during pregnancy; 3 - No; 7a - Don't know/Not sure; 9a - Refused",
2012,DIAGE,,M2.1. How old were you when you were told you have diabetes?,,
2012,DIINSUSE,,M2.2. Are you now taking insulin?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,DISUGOFT,,M2.3. About how often do you check your blood for glucose or sugar?,,
2012,DIFCHKH,,M2.4. And how often do you check your feet for any sores or irritations?,,
2012,DICHKNUM,,"M2.5. About how many times in the past 12 months have you seen a doctor, nurse, or other health professional for your diabetes?",,
2012,DIHEMNU2,,"M2.6. A test for 'A one C' measures the average level of blood sugar over the past three months.  About how many times in the past 12 months has a doctor, nurse, or other health professional checked you for 'A one C'?",,
2012,DIFEETCK,,M2.7. About how many times in the past 12 months has a health professional checked your feet for any sores or irritations?,,
2012,DICHKEYE,,M2.8. When was the last time you had an eye exam in which the pupils were dilated?,1 - Within the past month (anytime less than 1 month ago); 2 - Within the past year (1 month but less than 12 months ago); 3 - Within the past 2 years (1 year but less than 2 years ago); 4 - 2 or more years ago; 7a - (DO NOT READ) Don't know / Not sure; 8 - (DO NOT READ) Never; 9a - (DO NOT READ) Refused,
2012,DIRETINA,,M2.9. Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy (ret-in-o-pathy)?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,DEATTEN3,,M2.10. Have you ever taken a course or class in how to manage your diabetes yourself?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,dichknu2,,Number of Visits during the past 12 months to a Health Professional for Diabetes,0 - No visits; 1 - 1-10 visits; 2 - 11 or more visits; 77a - Don't know/Not sure; 99a - Refused,
2012,difchkh2,,Interim variable: How often checks feet for sores (not by health professional),,
2012,difchkh3,,How Often checks feet for sores and irritations daily,0 - No feet; 1 - Never; 2 - < 1 time a day; 3 - One time a day; 4 - 1-12 times a day; 777a - Don't know/Not sure; 999a - Refused,
2012,dihemn3,,"Number of times in past 12 months tested for ""A one C"".","1 - 1 time; 2 - 2 times; 3 - 3 times; 4 - 4 times; 5 - 5 or more times; 77a - Don't know; 88 - Never; 98 - Never heard of  ""A one C""; 99a - Refused",
2012,disugof2,,Interim variable: Frequency check blood glucose per day,222 - System missing; 777a - Don't Know; 888 - None; 999a - Refused,
2012,disugof3,,Frequency test blood glucose each day,1 - < 1 time per day; 2 - 1 time per day; 3 - > 1 time per day; 4 - Never; 222a - System missing; 777a - Don't know/Not sure; 999a - Refused,
2012,EXERANY2,,"C4.1. During the past month, other than your regular job, did you participate in any physical activities or exercises?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,EXWORKA2,,"OR107.1 When you are at work, which of the following best describes what you do? Would you say ... (INTERVIEWER NOTE:  If respondent has multiple jobs, include all jobs.) (READ LIST)",1 - Mostly sitting; 2 - Mostly standing; 3 - Mostly walking; 4 - Mostly heavy labor or physically demanding work; 7a - (DO NOT READ) Don't know / Not Sure; 9a - (DO NOT READ) Refused,
2012,FREQPOP,,OR102.1. About how often do you drink regular soda or pop that contains sugar? Do NOT include diet soda or diet pop. (Times per day),,
2012,FREQSSB,,"OR102.2. Other than sodas, how often do you drink a can, bottle or glass of a sugar-sweetened beverage, such as Snapple, Gatorade, Red Bull, or a mocha? Do not include diet or sugar-free drinks. (Times per day)",,
2012,LIMITSSB,,OR102.3. Are you currently trying to reduce or limit the amount of soda or other sugar-sweetened beverages that you drink? Please do not include diet or sugar-free sodas and other beverages. (DO NOT READ),1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SALTADER,,"OR44.1. Now I would like to ask you some questions about sodium intake. Most sodium is consumed in the form of sodium chloride, which is salt. Has a doctor or other health professional ever advised you to reduce salt intake? (DO NOT READ)",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SALTADLT,,"OR44.2. At your last visit to your doctor or other health professional, were you advised to reduce salt intake? (DO NOT READ)",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SALTLR,,OR44.3. Are you now cutting down on salt intake? (DO NOT READ),1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,EATAWAY,,"OR45.1. How often do you eat meals prepared away from home, such as a meal at a restaurant, carry-out, or from a grocery deli? (Times per day)",,
2012,EATFF,,OR45.2. How often do you eat food from a fast food restaurant? (Times per day),,
2012,PAHARM,,OR87.1. Would you say that getting less than 30 minutes of physical activity a day is ... (READ LIST),1 - Very harmful to one's health; 2 - Somewhat harmful to one's health; 3 - Not very harmful to one's health; 4 - Not harmful at all to one's health; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,FIVEHARM,,OR87.2. Would you say that eating fewer than five servings of fruits and vegetables a day is ... (READ LIST),1 - Very harmful to one's health; 2 - Somewhat harmful to one's health; 3 - Not very harmful to one's health; 4 - Not harmful at all to one's health; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,OBESEHARM,,"OR87.3. Would you say that being obese is  ... (INTERVIEWER NOTE: if someone asks what we mean by 'obese,' say: 'It is whatever obese means to you.') (READ LIST)",1 - Very harmful to one's health; 2 - Somewhat harmful to one's health; 3 - Not very harmful to one's health; 4 - Not harmful at all to one's health; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,SODAHARM,,"OR87.4. This next question is about sodas sweetened with sugar, not diet sodas. Would you say that drinking one or more cans of sugar-sweetened soda a day is ...",1 - Very harmful to one's health; 2 - Somewhat harmful to one's health; 3 - Not very harmful to one's health; 4 - Not harmful at all to one's health; 7a - (DO NOT READ) Don't know/Not sure; 9a - (DO NOT READ) Refused,
2012,SMOKE100,,C9.1. Have you smoked at least 100 cigarettes in your entire life?,1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,SMOKE,,"C9.2. Do you now smoke cigarettes every day, some days, or not at all?",1 - Every day; 2 - Some days; 3 - Not at all; 7a - Don't know / Not sure; 9a - Refused,
2012,SMKQTYN,,"C9.3. During the past 12 months, have you stopped smoking for one day or longer because you were trying to quit smoking?",1 - Yes; 2 - No; 7a - Don't know / Not sure; 9a - Refused,
2012,SMKLASTPUFFX,,"C9.4. How long has it been since the last time you smoked a cigarette, even one or two puffs?",1 - Within the past month (less than 1 month ago); 2 - Within the past 3 months (1 month but less than 3 months ago; 3 - Within the past 6 months (3 months but less than 6 months ag; 4 - Within the past year (6 months but less than 1 year ago); 5 - Within the past 5 years (1 year but less than 5 years ago); 6 - Within the past 10 years (5 years but less than 10 years ago; 7 - 10 years or more; 8 - Never smoked regularly; 77a - Don't know / Not sure; 99a - Refused,
2012,CHEW,,"C9.5. Do you currently use chewing tobacco, snuff or snus every day, some days, or not at all?",1 - Every day; 2 - Some days; 3 - Not at all; 7 - Don't know / Not sure; 9 - Refused,
2012,rfsmok2,,Risk factor: Respondents that reported having smoked at least 100 cigarettes in their lifetime and currently smoke - CDC,1 - Not At Risk; 2 - At Risk; 9a - Don't Know/Not Sure/Refused/Missing,
2012,smoker2,,Computed Smoking Status - CDC,1.0 - Current Smoker (every day); 2.0 - Current Smoker (some days); 3.0 - Former Smoker; 4.0 - Never Smoked; 9.0a - Don't Know/Not Sure/Refused/Missing,
2012,SQTMTHD1,,"OR20.1. A product that contains nicotine, such as 'The Patch,' nicotine gum, nasal spray or lozenges? (READ IF NECESSARY: Did you use this method to help you quit.)",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SQTMTHD2,,"OR20.2. A prescription medication, such as Chantix, Zyban or Wellbutrin? (READ IF NECESSARY: Did you use this method to help you quit.) INTERVIEWER NOTE: Other prescription medication names that you may hear are Clonidine (KLOE-ni-deen), Nortriptyline (nor",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SQTMTHD3,,"OR20.3. A quit program such as quit classes, counseling or telephone coaching? (READ IF NECESSARY: Did you use this method to help you quit.)",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SQTMTHD4,,"OR20.4. A quit resource that you got on your own, such as workbooks, self-help books, or other self-directed materials? (READ IF NECESSARY: Did you use this method to help you quit.)",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SQTMTHD5,,OR20.5. Hypnosis or acupuncture? (READ IF NECESSARY: Did you use this method to help you quit.),1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SQTMTHD6X,,"OR20.6. Or, none of the methods I mentioned, in other words, you quit entirely on your own?",1 - Yes; 2 - No; 7 - Don't know/Not sure; 9 - Refused,
2012,SQTMTHD7,,"OR20.7. If you used a quit method that I have not mentioned, what was it?",1 - Gave answer; 77a - Don't know/Not sure; 88a - Nothing; 99a - Refused,
2012,SQTMTHD7O_1,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_2,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_3,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_4,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_5,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_6,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_7,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_8,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_9,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SQTMTHD7O_10,,"OR20.7. If you used a quit method that I have not mentioned, what was it? (RECORD VERBATIM RESPONSES)",,
2012,SFIRSTX,,OR20.8. How soon after you wake up in the morning do you usually smoke your first cigarette?,1 - Within the first 5 minutes; 2 - 6 to 30 minutes; 3 - 31 to 60 minutes; 4 - More than 60 minutes; 7a - (DO NOT READ) Don't know/Not Sure; 9a - (DO NOT READ) Refused,
2012,SMQ1YEAR,,"OR20.9. In your lifetime, have you ever quit smoking for one year or more?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,QUITCON,,OR20.10. Are you seriously considering stopping smoking within the next 6 months?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,QUIT30,,OR20.11. Are you planning to stop within the next 30 days?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,SMQTLIKE2,,OR20.12. Would you like to quit smoking?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD1,,"OR21.2. Did you use a product that contains nicotine, such as The Patch, nicotine gum, nasal spray or lozenges?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD2,,"OR21.3. Did you use a prescription medication, such as Chantix, Zyban or Wellbutrin?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD3,,"OR21.4. Did you use a quit program such as quit classes, counseling or telephone coaching?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD4,,"OR21.5. Did you use a quit resource that you got on your own, such as workbooks, self-help books, or other self-directed materials?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD5,,OR21.6. Did you use Hypnosis or acupuncture?,1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD6X,,"OR21.7. Or, did you use none of the methods I mentioned, in other words, you quit entirely on your own?",1 - Yes; 2 - No; 7a - Don't know/Not sure; 9a - Refused,
2012,FQTMTHD7,,"OR21.8. If you used a quit method that I have not mentioned, what was it?",1 - Gave answer; 77a - Don't know/Not sure; 88a - Nothing; 99a - Refused,
2012,FQTMTHD7_8,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (EIGHTH RESPONSE)",,
2012,FQTMTHD7_5,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (FIFTH RESPONSE)",,
2012,FQTMTHD7_1,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (FIRST RESPONSE)",,
2012,FQTMTHD7_4,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (FOURTH RESPONSE)",,
2012,FQTMTHD7_9,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (NINTH RESPONSE)",,
2012,FQTMTHD7_2,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (SECOND RESPONSE)",,
2012,FQTMTHD7_7,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (SEVENTH RESPONSE)",,
2012,FQTMTHD7_6,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (SIXTH RESPONSE)",,
2012,FQTMTHD7_10,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (TENTH RESPONSE)",,
2012,FQTMTHD7_3,,"OR21.8. If you used a quit method that I have not mentioned, what was it? (THIRD RESPONSE)",,
